Time,Demand,Day,Month,Year,Winter,Spring,Summer,Fall,sma,ema
2014-05-12 06:00:00,5,12,5,2014,0,1,0,0,7.0,6.701759503487542
2014-05-12 09:00:00,4,12,5,2014,0,1,0,0,6.0,2.670443659567005
2014-05-12 12:00:00,14,12,5,2014,0,1,0,0,5.2,4.4678396689916955
2014-05-12 15:00:00,7,12,5,2014,0,1,0,0,2.4,1.7802957730446702
2014-05-12 18:00:00,5,12,5,2014,0,1,0,0,1.8,4.311893112661131
2014-05-12 21:00:00,0,12,5,2014,0,1,0,0,1.6,2.52019718202978
2014-05-13 00:00:00,0,13,5,2014,0,1,0,0,3.0,5.207928741774087
2014-05-13 03:00:00,0,13,5,2014,0,1,0,0,3.8,3.0134647880198533
2014-05-13 06:00:00,4,13,5,2014,0,1,0,0,4.2,4.138619161182725
2014-05-13 09:00:00,4,13,5,2014,0,1,0,0,4.0,3.008976525346569
2014-05-13 12:00:00,7,13,5,2014,0,1,0,0,3.2,2.7590794407884838
2014-05-13 15:00:00,4,13,5,2014,0,1,0,0,2.0,2.3393176835643796
2014-05-13 18:00:00,2,13,5,2014,0,1,0,0,1.8,2.8393862938589893
2014-05-13 21:00:00,3,13,5,2014,0,1,0,0,1.8,2.2262117890429196
2014-05-14 00:00:00,0,14,5,2014,0,1,0,0,3.2,5.2262575292393265
2014-05-14 03:00:00,1,14,5,2014,0,1,0,0,3.8,2.48414119269528
2014-05-14 06:00:00,3,14,5,2014,0,1,0,0,4.0,4.150838352826218
2014-05-14 09:00:00,2,14,5,2014,0,1,0,0,3.6,1.9894274617968533
2014-05-14 12:00:00,10,14,5,2014,0,1,0,0,3.2,2.7672255685508125
2014-05-14 15:00:00,3,14,5,2014,0,1,0,0,1.2,1.3262849745312355
2014-05-14 18:00:00,2,14,5,2014,0,1,0,0,0.8,2.178150379033875
2014-05-14 21:00:00,1,14,5,2014,0,1,0,0,1.4,2.55085664968749
